Sprint,Fase,Capa,Módulo,ID,Clave,Resumen,Story Points
Sprint 4,Fase 2,BASE,BOOKING,10075,SCRUM-76,[BOOKING] [BASE] Confirmar reserva (Pantalla de éxito),2
Sprint 4,Fase 2,BASE,BOOKING,10076,SCRUM-77,[BOOKING] [BASE] Completar formulario personalizado,2
Sprint 4,Fase 3,BASE,TURNOS,10028,SCRUM-29,[TURNOS] [BASE] Manejar excepciones: Pausar agenda temporalmente,2
Sprint 4,Fase 3,BASE,GESTION,10081,SCRUM-82,[GESTION] [BASE] Modificar reserva: Cancelar turno reservado,2
Sprint 4,Fase 3,BASE,MIS-TURNOS,10077,SCRUM-78,"[MIS-TURNOS] [BASE] Revisar mis turnos: Ver panel de ""Mis Turnos""",2
Sprint 4,Fase 3,BASE,PAGOS,10064,SCRUM-65,[PAGOS] [BASE] Historial de Pagos: Ver historial de señas pagadas,2
Sprint 4,Fase 3,BASE,CLIENTE,10037,SCRUM-38,[CLIENTE] [BASE] Seguimiento: Recibir notificaciones sobre cierto cliente,3
Sprint 4,Fase 3,BASE,NOTIF,10084,SCRUM-85,[NOTIF] [BASE] Recibir confirmación de reserva por Email,2
Sprint 4,Fase 3,BASE,TURNOS,10029,SCRUM-30,[TURNOS] [BASE] Bloquear fechas (Vacaciones/Feriados),3
Sprint 4,Fase 3,BASE,GESTION,10082,SCRUM-83,[GESTION] [BASE] Indicar motivo de cancelación,2
Sprint 4,Fase 3,BASE,MIS-TURNOS,10078,SCRUM-79,[MIS-TURNOS] [BASE] Ver historial de turnos pasados,2
Sprint 4,Fase 3,BASE,PAGOS,10065,SCRUM-66,[PAGOS] [BASE] Descargar comprobante de turno/seña,3
Sprint 4,Fase 3,BASE,CLIENTE,10038,SCRUM-39,[CLIENTE] [BASE] Botón de contacto rápido por WhatsApp,5
Sprint 4,Fase 3,BASE,NOTIF,10085,SCRUM-86,[NOTIF] [BASE] Recibir aviso si el profesional cancela,2
Sprint 4,Fase 3,BASE,TURNOS,10030,SCRUM-31,[TURNOS] [BASE] Revisar agenda: Ver panel de turnos (Dashboard),2
Sprint 4,Fase 3,BASE,GESTION,10083,SCRUM-84,[GESTION] [BASE] Reprogramar turno (Mover fecha),2
Sprint 5,Fase 3,BASE,MIS-TURNOS,10079,SCRUM-80,"[MIS-TURNOS] [BASE] Ver detalle (Dirección, link de Zoom, etc.)",2
Sprint 5,Fase 3,BASE,CLIENTE,10039,SCRUM-40,[CLIENTE] [BASE] Ver historial del cliente,5
Sprint 5,Fase 3,PREM,NOTIF,10086,SCRUM-87,[NOTIF] [PREM] Recibir recordatorio por WhatsApp (24hs),2
Sprint 5,Fase 3,BASE,TURNOS,10031,SCRUM-32,[TURNOS] [BASE] Ver detalle del turno,3
Sprint 5,Fase 3,BASE,MIS-TURNOS,10080,SCRUM-81,[MIS-TURNOS] [BASE] Ver estado de pagos / señas,2
Sprint 5,Fase 3,PREM,CLIENTE,10040,SCRUM-41,[CLIENTE] [PREM] Añadir notas internas privadas,5
Sprint 5,Fase 3,PREM,TURNOS,10032,SCRUM-33,[TURNOS] [PREM] Exportar turnos del mes a Excel/CSV,3
Sprint 5,Fase 3,BASE,TURNOS,10033,SCRUM-34,[TURNOS] [BASE] Administrar reservas: Cancelar el turno de un cliente,3
Sprint 5,Fase 3,BASE,TURNOS,10034,SCRUM-35,[TURNOS] [BASE] Marcar asistencia (Asistió / No asistió),3
Sprint 5,Fase 3,BASE,TURNOS,10035,SCRUM-36,[TURNOS] [BASE] Reprogramar turno desde el panel,3
Sprint 5,Fase 3,PREM,TURNOS,10036,SCRUM-37,[TURNOS] [PREM] Gestionar reembolsos de seña,3
Sprint 5,Fase 4,BASE,SUBS,10002,SCRUM-3,[SUBS] [BASE] Administrar suscripcion: Ver estado del plan actual,3
Sprint 5,Fase 4,PREM,ADMIN,10087,SCRUM-88,"[ADMIN] [PREM] Configurar perfil del local: Cargar nombre, logo y dirección",2
Sprint 5,Fase 4,PREM,STAFF,10090,SCRUM-91,[STAFF] [PREM] Administrar Staff: Invitar profesionales por email,2
Sprint 5,Fase 4,PREM,CRM,10102,SCRUM-103,[CRM] [PREM] Base de clientes compartida: Ver base de datos del local,3
Sprint 6,Fase 4,BASE,SUBS,10017,SCRUM-18,[SUBS] [BASE] Administrar Suscripción: Ver estado del plan actual,3
Sprint 6,Fase 4,PREM,ADMIN,10088,SCRUM-89,[ADMIN] [PREM] Generar link público general del negocio,0
Sprint 6,Fase 4,PREM,STAFF,10091,SCRUM-92,[STAFF] [PREM] Crear/Editar perfil del empleado,2
Sprint 6,Fase 4,PREM,CRM,10103,SCRUM-104,[CRM] [PREM] Ver historial global del cliente en el local,2
Sprint 6,Fase 4,PREM,SUBS,10018,SCRUM-19,[SUBS] [PREM] Hacer Upgrade a Premium,3
Sprint 6,Fase 4,PREM,ADMIN,10089,SCRUM-90,[ADMIN] [PREM] Configurar horarios de apertura del local,2
Sprint 6,Fase 4,PREM,STAFF,10092,SCRUM-93,[STAFF] [PREM] Dar de baja/Suspender a un empleado,2
Sprint 6,Fase 4,PREM,CRM,10104,SCRUM-105,[CRM] [PREM] Añadir notas internas al perfil del cliente,2
Sprint 6,Fase 4,BASE,SUBS,10019,SCRUM-20,[SUBS] [BASE] Cancelar Suscripción Premium,3
Sprint 6,Fase 4,PREM,STAFF,10093,SCRUM-94,[STAFF] [PREM] Asignar servicios y horarios: Definir qué servicios da cada empleado,2
Sprint 6,Fase 4,PREM,STAFF,10094,SCRUM-95,[STAFF] [PREM] Configurar días/horarios de cada empleado,3
Sprint 6,Fase 4,PREM,STAFF,10095,SCRUM-96,[STAFF] [PREM] Asignar roles (Admin general vs. Empleado),3
Sprint 6,Fase 5,PREM,GLOBAL,10096,SCRUM-97,[GLOBAL] [PREM] Monitorear agenda: Ver calendario unificado (Todos los empleados),2
Sprint 6,Fase 5,PREM,METRICAS,10105,SCRUM-106,[METRICAS] [PREM] Analítica: Ver total de turnos (Atendidos vs Cancelados),5
Sprint 6,Fase 5,PREM,DATA,10110,SCRUM-111,[DATA] [PREM] Exportación: Exportar base de datos de clientes,5
Sprint 6,Fase 5,PREM,GLOBAL,10097,SCRUM-98,[GLOBAL] [PREM] Filtrar vista por empleado específico,3
Sprint 7,Fase 5,PREM,METRICAS,10106,SCRUM-107,[METRICAS] [PREM] Ver ingresos estimados del mes,5
Sprint 7,Fase 5,PREM,DATA,10111,SCRUM-112,[DATA] [PREM] Exportar liquidación mensual a Excel/CSV,5
Sprint 7,Fase 5,PREM,GLOBAL,10098,SCRUM-99,[GLOBAL] [PREM] Filtrar vista por servicio,2
Sprint 7,Fase 5,PREM,METRICAS,10107,SCRUM-108,[METRICAS] [PREM] Ver servicios más populares,3
Sprint 7,Fase 5,PREM,GLOBAL,10099,SCRUM-100,[GLOBAL] [PREM] Gestión administrativa: Reasignar turno de un empleado a otro,2
Sprint 7,Fase 5,PREM,METRICAS,10108,SCRUM-109,[METRICAS] [PREM] Rendimiento: Ver cantidad de turnos por profesional,5
Sprint 7,Fase 5,PREM,GLOBAL,10100,SCRUM-101,[GLOBAL] [PREM] Bloquear agenda de empleado,3
Sprint 7,Fase 5,PREM,METRICAS,10109,SCRUM-110,[METRICAS] [PREM] Ver ingresos generados por cada empleado,5
Sprint 7,Fase 5,PREM,GLOBAL,10101,SCRUM-102,[GLOBAL] [PREM] Crear turno manual,2
